name,description,type,exact_mass,hc_ratio,nc_ratio,oc_ratio,pc_ratio,sc_ratio,dbe,dbe_o,Molecular.Formula
contaminants_LC-MS_neg,"Contaminants list published by Patriarca, C.; Bergquist, J.; Sj̦berg, P. J. R.; Tranvik, L.; Hawkes, J. A. Online HPLC-ESI-HRMS Method for the Analysis and Comparison of Different Dissolved Organic Matter Samples. Environ. Sci. Technol. 2017. DOI: 10.1021/acs.est.7b04508.",blacklist,256.1674593,1.714,0,0.286,0,0,3,-1,C14H24O4
contaminants_LC-MS_neg,"Contaminants list published by Patriarca, C.; Bergquist, J.; Sj̦berg, P. J. R.; Tranvik, L.; Hawkes, J. A. Online HPLC-ESI-HRMS Method for the Analysis and Comparison of Different Dissolved Organic Matter Samples. Environ. Sci. Technol. 2017. DOI: 10.1021/acs.est.7b04508.",blacklist,256.2402303,2,0,0.125,0,0,1,-1,C16H32O2
contaminants_LC-MS_neg,"Contaminants list published by Patriarca, C.; Bergquist, J.; Sj̦berg, P. J. R.; Tranvik, L.; Hawkes, J. A. Online HPLC-ESI-HRMS Method for the Analysis and Comparison of Different Dissolved Organic Matter Samples. Environ. Sci. Technol. 2017. DOI: 10.1021/acs.est.7b04508.",blacklist,258.1619799,1.294,0,0.118,0,0,7,5,C17H22O2
contaminants_LC-MS_neg,"Contaminants list published by Patriarca, C.; Bergquist, J.; Sj̦berg, P. J. R.; Tranvik, L.; Hawkes, J. A. Online HPLC-ESI-HRMS Method for the Analysis and Comparison of Different Dissolved Organic Matter Samples. Environ. Sci. Technol. 2017. DOI: 10.1021/acs.est.7b04508.",blacklist,276.1725446,1.412,0,0.176,0,0,6,3,C17H24O3
contaminants_LC-MS_neg,"Contaminants list published by Patriarca, C.; Bergquist, J.; Sj̦berg, P. J. R.; Tranvik, L.; Hawkes, J. A. Online HPLC-ESI-HRMS Method for the Analysis and Comparison of Different Dissolved Organic Matter Samples. Environ. Sci. Technol. 2017. DOI: 10.1021/acs.est.7b04508.",blacklist,280.2402303,1.778,0,0.111,0,0,3,1,C18H32O2
contaminants_LC-MS_neg,"Contaminants list published by Patriarca, C.; Bergquist, J.; Sj̦berg, P. J. R.; Tranvik, L.; Hawkes, J. A. Online HPLC-ESI-HRMS Method for the Analysis and Comparison of Different Dissolved Organic Matter Samples. Environ. Sci. Technol. 2017. DOI: 10.1021/acs.est.7b04508.",blacklist,282.2558803,1.889,0,0.111,0,0,2,0,C18H34O2
contaminants_LC-MS_neg,"Contaminants list published by Patriarca, C.; Bergquist, J.; Sj̦berg, P. J. R.; Tranvik, L.; Hawkes, J. A. Online HPLC-ESI-HRMS Method for the Analysis and Comparison of Different Dissolved Organic Matter Samples. Environ. Sci. Technol. 2017. DOI: 10.1021/acs.est.7b04508.",blacklist,284.2715304,2,0,0.111,0,0,1,-1,C18H36O2
contaminants_LC-MS_neg,"Contaminants list published by Patriarca, C.; Bergquist, J.; Sj̦berg, P. J. R.; Tranvik, L.; Hawkes, J. A. Online HPLC-ESI-HRMS Method for the Analysis and Comparison of Different Dissolved Organic Matter Samples. Environ. Sci. Technol. 2017. DOI: 10.1021/acs.est.7b04508.",blacklist,290.1154237,1.125,0,0.312,0,0,8,3,C16H18O5
contaminants_LC-MS_neg,"Contaminants list published by Patriarca, C.; Bergquist, J.; Sj̦berg, P. J. R.; Tranvik, L.; Hawkes, J. A. Online HPLC-ESI-HRMS Method for the Analysis and Comparison of Different Dissolved Organic Matter Samples. Environ. Sci. Technol. 2017. DOI: 10.1021/acs.est.7b04508.",blacklist,294.1831093,1.529,0,0.235,0,0,5,1,C17H26O4
contaminants_LC-MS_neg,"Contaminants list published by Patriarca, C.; Bergquist, J.; Sj̦berg, P. J. R.; Tranvik, L.; Hawkes, J. A. Online HPLC-ESI-HRMS Method for the Analysis and Comparison of Different Dissolved Organic Matter Samples. Environ. Sci. Technol. 2017. DOI: 10.1021/acs.est.7b04508.",blacklist,296.1471177,2,0,0.667,0,0,1,-7,C12H24O8
contaminants_LC-MS_neg,"Contaminants list published by Patriarca, C.; Bergquist, J.; Sj̦berg, P. J. R.; Tranvik, L.; Hawkes, J. A. Online HPLC-ESI-HRMS Method for the Analysis and Comparison of Different Dissolved Organic Matter Samples. Environ. Sci. Technol. 2017. DOI: 10.1021/acs.est.7b04508.",blacklist,298.1602657,1.625,0,0.188,0,0.062,4,1,C16H26O3S1
contaminants_LC-MS_neg,"Contaminants list published by Patriarca, C.; Bergquist, J.; Sj̦berg, P. J. R.; Tranvik, L.; Hawkes, J. A. Online HPLC-ESI-HRMS Method for the Analysis and Comparison of Different Dissolved Organic Matter Samples. Environ. Sci. Technol. 2017. DOI: 10.1021/acs.est.7b04508.",blacklist,312.1759158,1.647,0,0.176,0,0.059,4,1,C17H28O3S1
contaminants_LC-MS_neg,"Contaminants list published by Patriarca, C.; Bergquist, J.; Sj̦berg, P. J. R.; Tranvik, L.; Hawkes, J. A. Online HPLC-ESI-HRMS Method for the Analysis and Comparison of Different Dissolved Organic Matter Samples. Environ. Sci. Technol. 2017. DOI: 10.1021/acs.est.7b04508.",blacklist,318.1467238,1.222,0,0.278,0,0,8,3,C18H22O5
contaminants_LC-MS_neg,"Contaminants list published by Patriarca, C.; Bergquist, J.; Sj̦berg, P. J. R.; Tranvik, L.; Hawkes, J. A. Online HPLC-ESI-HRMS Method for the Analysis and Comparison of Different Dissolved Organic Matter Samples. Environ. Sci. Technol. 2017. DOI: 10.1021/acs.est.7b04508.",blacklist,326.1915658,1.667,0,0.167,0,0.056,4,1,C18H30O3S1
contaminants_LC-MS_neg,"Contaminants list published by Patriarca, C.; Bergquist, J.; Sj̦berg, P. J. R.; Tranvik, L.; Hawkes, J. A. Online HPLC-ESI-HRMS Method for the Analysis and Comparison of Different Dissolved Organic Matter Samples. Environ. Sci. Technol. 2017. DOI: 10.1021/acs.est.7b04508.",blacklist,340.1733325,2,0,0.643,0,0,1,-8,C14H28O9
contaminants_LC-MS_neg,"Contaminants list published by Patriarca, C.; Bergquist, J.; Sj̦berg, P. J. R.; Tranvik, L.; Hawkes, J. A. Online HPLC-ESI-HRMS Method for the Analysis and Comparison of Different Dissolved Organic Matter Samples. Environ. Sci. Technol. 2017. DOI: 10.1021/acs.est.7b04508.",blacklist,340.2402303,1.391,0,0.087,0,0,8,6,C23H32O2
contaminants_LC-MS_neg,"Contaminants list published by Patriarca, C.; Bergquist, J.; Sj̦berg, P. J. R.; Tranvik, L.; Hawkes, J. A. Online HPLC-ESI-HRMS Method for the Analysis and Comparison of Different Dissolved Organic Matter Samples. Environ. Sci. Technol. 2017. DOI: 10.1021/acs.est.7b04508.",blacklist,354.2194948,1.304,0,0.13,0,0,9,6,C23H30O3
contaminants_LC-MS_neg,"Contaminants list published by Patriarca, C.; Bergquist, J.; Sj̦berg, P. J. R.; Tranvik, L.; Hawkes, J. A. Online HPLC-ESI-HRMS Method for the Analysis and Comparison of Different Dissolved Organic Matter Samples. Environ. Sci. Technol. 2017. DOI: 10.1021/acs.est.7b04508.",blacklist,356.2351449,1.391,0,0.13,0,0,8,5,C23H32O3
contaminants_LC-MS_neg,"Contaminants list published by Patriarca, C.; Bergquist, J.; Sj̦berg, P. J. R.; Tranvik, L.; Hawkes, J. A. Online HPLC-ESI-HRMS Method for the Analysis and Comparison of Different Dissolved Organic Matter Samples. Environ. Sci. Technol. 2017. DOI: 10.1021/acs.est.7b04508.",blacklist,384.1995472,2,0,0.625,0,0,1,-9,C16H32O10
contaminants_LC-MS_neg,"Contaminants list published by Patriarca, C.; Bergquist, J.; Sj̦berg, P. J. R.; Tranvik, L.; Hawkes, J. A. Online HPLC-ESI-HRMS Method for the Analysis and Comparison of Different Dissolved Organic Matter Samples. Environ. Sci. Technol. 2017. DOI: 10.1021/acs.est.7b04508.",blacklist,402.0950822,0.9,0,0.45,0,0,12,3,C20H18O9
contaminants_LC-MS_neg,"Contaminants list published by Patriarca, C.; Bergquist, J.; Sj̦berg, P. J. R.; Tranvik, L.; Hawkes, J. A. Online HPLC-ESI-HRMS Method for the Analysis and Comparison of Different Dissolved Organic Matter Samples. Environ. Sci. Technol. 2017. DOI: 10.1021/acs.est.7b04508.",blacklist,421.2828234,1.625,0.042,0.208,0,0,6,1,C24H39O5N1
contaminants_LC-MS_neg,"Contaminants list published by Patriarca, C.; Bergquist, J.; Sj̦berg, P. J. R.; Tranvik, L.; Hawkes, J. A. Online HPLC-ESI-HRMS Method for the Analysis and Comparison of Different Dissolved Organic Matter Samples. Environ. Sci. Technol. 2017. DOI: 10.1021/acs.est.7b04508.",blacklist,472.2519767,2,0,0.6,0,0,1,-11,C20H40O12
contaminants_LC-MS_neg,"Contaminants list published by Patriarca, C.; Bergquist, J.; Sj̦berg, P. J. R.; Tranvik, L.; Hawkes, J. A. Online HPLC-ESI-HRMS Method for the Analysis and Comparison of Different Dissolved Organic Matter Samples. Environ. Sci. Technol. 2017. DOI: 10.1021/acs.est.7b04508.",blacklist,516.2781915,2,0,0.591,0,0,1,-12,C22H44O13
contaminants_LC-MS_neg,"Contaminants list published by Patriarca, C.; Bergquist, J.; Sj̦berg, P. J. R.; Tranvik, L.; Hawkes, J. A. Online HPLC-ESI-HRMS Method for the Analysis and Comparison of Different Dissolved Organic Matter Samples. Environ. Sci. Technol. 2017. DOI: 10.1021/acs.est.7b04508.",blacklist,560.3044062,2,0,0.583,0,0,1,-13,C24H48O14
contaminants_LC-MS_neg,"Contaminants list published by Patriarca, C.; Bergquist, J.; Sj̦berg, P. J. R.; Tranvik, L.; Hawkes, J. A. Online HPLC-ESI-HRMS Method for the Analysis and Comparison of Different Dissolved Organic Matter Samples. Environ. Sci. Technol. 2017. DOI: 10.1021/acs.est.7b04508.",blacklist,594.1584703,1.111,0,0.556,0,0,13,-2,C27H30O15
contaminants_LC-MS_neg,"Contaminants list published by Patriarca, C.; Bergquist, J.; Sj̦berg, P. J. R.; Tranvik, L.; Hawkes, J. A. Online HPLC-ESI-HRMS Method for the Analysis and Comparison of Different Dissolved Organic Matter Samples. Environ. Sci. Technol. 2017. DOI: 10.1021/acs.est.7b04508.",blacklist,610.1533849,1.111,0,0.593,0,0,13,-3,C27H30O16
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,166.0663653,2.333,0,0.5,0,0.167,0,-3,C6H14O3S1
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,174.1619799,2.2,0,0.2,0,0,0,-2,C10H22O2
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,176.0797069,2,0.333,0.667,0,0,2,-2,C6H12O4N2
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,178.1357652,1.5,0,0.083,0,0,4,3,C12H18O1
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,192.1514153,1.538,0,0.077,0,0,4,3,C13H20O1
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,194.0976654,2.25,0,0.375,0,0.125,0,-3,C8H18O3S1
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,205.0586371,1.571,0.143,0.857,0,0,3,-3,C7H11O6N1
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,210.0925801,2.25,0,0.5,0,0.125,0,-4,C8H18O4S1
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,216.0092444,1,0,0.625,0,0.125,5,0,C8H8O5S1
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,218.1881947,2.167,0,0.25,0,0,0,-3,C12H26O3
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,220.1827154,1.6,0,0.067,0,0,4,3,C15H24O1
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,222.1289656,2.2,0,0.3,0,0.1,0,-3,C10H22O3S1
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,224.1082301,2.222,0,0.444,0,0.111,0,-4,C9H20O4S1
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,230.0248944,1.111,0,0.556,0,0.111,5,0,C9H10O5S1
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,234.1831093,2.167,0,0.333,0,0,0,-4,C12H26O4
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,236.1446156,2.182,0,0.273,0,0.091,0,-3,C11H24O3S1
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,238.1238802,2.2,0,0.4,0,0.1,0,-4,C10H22O4S1
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,242.2245802,2,0,0.133,0,0,1,-1,C15H30O2
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,244.0405445,1.2,0,0.5,0,0.1,5,0,C10H12O5S1
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,250.1602657,2.167,0,0.25,0,0.083,0,-3,C12H26O3S1
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,250.1932801,1.625,0,0.125,0,0,4,2,C16H26O2
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,252.1395303,2.182,0,0.364,0,0.091,0,-4,C11H24O4S1
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,256.1133155,1.538,0,0.231,0,0.077,4,1,C13H20O3S1
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,258.2558803,2.125,0,0.125,0,0,0,-2,C16H34O2
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,259.9990736,0.889,0,0.778,0,0.111,6,-1,C9H8O7S1
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,262.2144094,2.143,0,0.286,0,0,0,-4,C14H30O4
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,262.2296656,1.667,0,0.056,0,0,4,3,C18H30O1
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,264.1572885,2,0,0.5,0,0,1,-5,C12H24O6
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,264.1759158,2.154,0,0.231,0,0.077,0,-3,C13H28O3S1
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,264.2089301,1.647,0,0.118,0,0,4,2,C17H28O2
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,266.1551803,2.167,0,0.333,0,0.083,0,-4,C12H26O4S1
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,270.1289656,1.571,0,0.214,0,0.071,4,1,C14H22O3S1
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,274.250795,2.125,0,0.188,0,0,0,-3,C16H34O3
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,278.1881947,1.529,0,0.176,0,0,5,2,C17H26O3
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,278.1915658,2.143,0,0.214,0,0.071,0,-3,C14H30O3S1
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,278.2093241,2.143,0,0.357,0,0,0,-5,C14H30O5
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,280.1708304,2.154,0,0.308,0,0.077,0,-4,C13H28O4S1
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,282.1500949,2.167,0,0.417,0,0.083,0,-5,C12H26O5S1
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,284.1446156,1.6,0,0.2,0,0.067,4,1,C15H24O3S1
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,288.0303737,1.091,0,0.636,0,0.091,6,-1,C11H12O7S1
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,288.2300595,2,0,0.25,0,0,1,-3,C16H32O4
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,288.266445,2.118,0,0.176,0,0,0,-3,C17H36O3
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,290.2457096,2.125,0,0.25,0,0,0,-4,C16H34O4
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,292.1885886,2,0,0.429,0,0,1,-5,C14H28O6
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,294.1500949,2,0,0.385,0,0.077,1,-4,C13H26O5S1
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,294.1864804,2.143,0,0.286,0,0.071,0,-4,C14H30O4S1
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,294.2194948,1.667,0,0.167,0,0,4,1,C18H30O3
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,298.1602657,1.625,0,0.188,0,0.062,4,1,C16H26O3S1
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,302.2820951,2.111,0,0.167,0,0,0,-3,C18H38O3
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,306.222866,2.125,0,0.188,0,0.062,0,-3,C16H34O3S1
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,306.2406242,2.125,0,0.312,0,0,0,-5,C16H34O5
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,308.2021305,2.133,0,0.267,0,0.067,0,-4,C15H32O4S1
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,308.2351449,1.684,0,0.158,0,0,4,1,C19H32O3
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,310.1813951,2.143,0,0.357,0,0.071,0,-5,C14H30O5S1
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,312.1759158,1.647,0,0.176,0,0.059,4,1,C17H28O3S1
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,312.3028305,2,0,0.1,0,0,1,-1,C20H40O2
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,316.2977451,2.105,0,0.158,0,0,0,-3,C19H40O3
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,318.2770097,2.111,0,0.222,0,0,0,-4,C18H38O4
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,320.2198887,2,0,0.375,0,0,1,-5,C16H32O6
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,320.238516,2.118,0,0.176,0,0.059,0,-3,C17H36O3S1
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,321.233765,2.188,0.062,0.188,0,0.062,0,-3,C16H35O3N1S1
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,322.1813951,2,0,0.333,0,0.067,1,-4,C15H30O5S1
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,322.2144094,1.579,0,0.211,0,0,5,1,C19H30O4
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,322.2177806,2.125,0,0.25,0,0.062,0,-4,C16H34O4S1
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,322.2355388,2.125,0,0.375,0,0,0,-6,C16H34O6
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,324.1970451,2.133,0,0.333,0,0.067,0,-5,C15H32O5S1
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,326.1763097,2.143,0,0.429,0,0.071,0,-6,C14H30O6S1
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,326.1915658,1.667,0,0.167,0,0.056,4,1,C18H30O3S1
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,330.3133952,2.1,0,0.15,0,0,0,-3,C20H42O3
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,332.1835032,1.75,0,0.438,0,0,3,-4,C16H28O7
surfactants_Terrabase_neg,curated list of 192 common surfactants compiled by http://www.terrabase-inc.com/ (download: 01.06.2022),blacklist,334.2719243,2.111,0,0.278,0,0,0,-5,C18H38O5
